text,code,lang_rep,code_rep
in case that I recieved email tracking confirmation from Ford or there is a clearance on slippers or a clearance on headphones add all cheese to my shopping list,"contact = Contact.resolve_from_text(""I"")
content = Content.resolve_from_text(""email tracking confirmation"")
sender = Contact.resolve_from_text(""Ford"")
messages = Message.find_messages(recipient=contact, sender=sender, content=content)
test1 = bool(messages)
product_attribute = ProductAttribute.resolve_from_text(""a clearance"")
product_name1 = ProductName.resolve_from_text(""slippers"")
product_name2 = ProductName.resolve_from_text(""headphones"")
products = []
for product_name in [product_name1, product_name2]:
  products = products or Product.find_products(product_name=product_name, product_attribute=product_attribute)
test2 = bool(products)
test = test1 or test2
if test:
  product_names = ProductName.resolve_many_from_text(""all cheese"")
  shopping_list_name = ShoppingListName.resolve_from_text(""my shopping list"")
  for product_name in product_names:
    shopping_list = Shopping.add_to_shopping_list(product_name=product_name, shopping_list_name=shopping_list_name)","(None, None)","(None, None)"
add blouses to the shopping list and show if at noon next month in my neighborhood and my parents neighborhood it will be lightning and sleets,"product_name = ProductName.resolve_from_text(""blouses"")
shopping_list_name = ShoppingListName.resolve_from_text(""the shopping list"")
shopping_list = Shopping.add_to_shopping_list(product_name=product_name, shopping_list_name=shopping_list_name)

date_time = DateTime.resolve_from_text(""noon next month"")
location = Location.resolve_many_from_text(""in my neighborhood and my parents neighborhood"")
weather_conditions = WeatherCondition.resolve_many_from_text(""will be lightning and sleets"")
weather_forecasts = []
for weather_condition in weather_conditions:
  for location in location:
    weather_forecasts += Weather.find_weather_forecasts(date_time=date_time, location=location, weather_condition=weather_condition)
test_weather_forecasts = bool(weather_forecasts)
Responder.respond(response=test_weather_forecasts)","(None, None)","(None, None)"
"assuming that I leave before 2 PM to get to the cheapest Louis Vuitton factory before noon next week add peanut butter, eggs or underwear to my list","before departure_time = DateTime.resolve_from_text(""2 PM"")
destination = Location.resolve_from_text(""to the cheapest Louis Vuitton factory"")
destination = utils.sort(destination, ""cheapest"")
destination = utils.first(destination)
arrival_date_time = before arrival_date_time = DateTime.resolve_from_text(""noon next week"")
arrival = Navigation.find_estimated_arrival(destination=destination, departure_date_time=departure_time, arrival_date_time=arrival_date_time)
test_navigation_estimate_arrival = bool(arrival)

if test_navigation_estimate_arrival:
  product_names = ProductName.resolve_many_from_text(""peanut butter, eggs or underwear"")
  shopping_list_name = ShoppingListName.resolve_from_text(""my list"")
  for product_name in product_names:
    shopping_list = Shopping.add_to_shopping_list(product_name=product_name, shopping_list_name=shopping_list_name)","(None, None)","(None, None)"
"look for a sale on heels, if not I should leave at 11:14 PM to get to Burgess Meadow before mindnight next month","departure_time = DateTime.resolve_from_text(""11:14 PM"")
destination = Location.resolve_from_text(""to Burgess Meadow"")
arrival_date_time = before arrival_date_time = DateTime.resolve_from_text(""mindnight next month"")
departure = Navigation.find_estimated_departure(destination=destination, departure_date_time=departure_time, arrival_date_time=arrival_date_time)
test_navigation_estimate_departure = bool(departure)

if not test_navigation_estimate_departure:
  product_name = ProductName.resolve_from_text(""heels"")
  product_attribute = ProductAttribute.resolve_from_text(""a sale"")
  products = Product.find_products(product_name=product_name, product_attribute=product_attribute)
  Responder.respond(response=products)","(None, None)","(None, None)"
see how long will it take me to arrive at noon to my parents neighborhood and text it to both my sisters,"destination = Location.resolve_from_text(""to my parents neighborhood"")
date_time = DateTime.resolve_from_text(""noon"")
duration = Navigation.find_duration(destination=destination, date_time=date_time)
Responder.respond(response=duration)
recipients = Contact.resolve_many_from_text(""both my sisters"")
content = Content.resolve_from_entity(entity=duration)
for recipient in recipients:
  Message.send_message(recipient=recipient, content=content)","(None, None)","(None, None)"
"before you check if I recieved an email which includes flight itinerary, find if there are tickets for a golf game in Ukraine and Mozambique for tonight","event_name = EventName.resolve_from_text(""a golf game"")
locations = Location.resolve_many_from_text(""in Ukraine and Mozambique"")
date_time = DateTime.resolve_from_text(""tonight"")
events = []
for location in locations:
  events = Calendar.find_events(date_time=date_time, event_name=event_name, location=location)
event_tickets = Calendar.find_events_tickets(events=events)
Responder.respond(response=event_tickets)
Responder.respond(response=event_tickets)

contact = Contact.resolve_from_text(""I"")
content = Content.resolve_from_text(""flight itinerary"")
messages = Message.find_messages(recipient=contact, content=content)
test_messages = bool(messages)
Responder.respond(response=test_messages)","(None, None)","(None, None)"
"check if it sleets at mindnight tomorrow on Cox Dam street, unless that I need to leave before mindnight the day after tomorrow to get to my parents neighborhood at noon next week and I need to leave before 10 PM from my work place to get to there before noon tomorrow","before departure_time = DateTime.resolve_from_text(""mindnight the day after tomorrow"")
destination = Location.resolve_from_text(""to my parents neighborhood"")
departure = Navigation.find_estimated_departure(destination=destination, departure_date_time=departure_time, arrival_date_time=arrival_date_time)
test1 = bool(departure)
arrival_date_time = before arrival_date_time = DateTime.resolve_from_text(""noon tomorrow"")
before departure_time = DateTime.resolve_from_text(""10 PM"")
origin = Location.resolve_from_text(""from my work place"")
departure = Navigation.find_estimated_departure(source=origin, destination=destination, arrival_date_time=arrival_date_time, departure_date_time=departure_time)
test2 = bool(departure)
test = test1 and test2
if not test:
  weather_condition = WeatherCondition.resolve_from_text(""sleets"")
  date_time = DateTime.resolve_from_text(""mindnight tomorrow"")
  location = Location.resolve_many_from_text(""Davis Causeway road and Eric Estate street"")
  weather_forecasts = []
  for location in location:
    weather_forecasts += Weather.find_weather_forecasts(date_time=date_time, location=location, weather_condition=weather_condition)
  test_weather_forecasts = bool(weather_forecasts)
  Responder.respond(response=test_weather_forecasts)","(None, None)","(None, None)"
"if not I recieved an email from Dior today, create an entry on my work calendar a conference call","contact = Contact.resolve_from_text(""I"")
sender = Contact.resolve_from_text(""Dior"")
date_time = DateTime.resolve_from_text(""today"")
messages = Message.find_messages(recipient=contact, sender=sender, date_time=date_time)
test_messages = bool(messages)

if not test_messages:
  event_calendar = EventCalendar.resolve_from_text(""my work calendar"")
  event_name = EventName.resolve_from_text(""a conference call"")
  Calendar.schedule_event(event_calendar=event_calendar, event_name=event_name)","(None, None)","(None, None)"
"confirm if I got a reminder that I have a meeting at 3pm for Friday evening and tomorrow, delete the last three messages from Thursday if so","person_reminded = Contact.resolve_from_text(""I"")
content = Content.resolve_from_text(""I have a meeting at 3pm"")
date_times = DateTime.resolve_many_from_text(""Friday evening and tomorrow"")
reminders = []
for date_time in date_times:
  reminders = Reminder.find_reminders(person_reminded=person_reminded, date_time=date_time, content=content)
test_reminders = bool(reminders)
Responder.respond(response=test_reminders)
if test_reminders:
  date_time = DateTime.resolve_from_text(""Thursday"")
  messages = Message.find_messages(date_time=date_time)
  messages = last(messages, 3)
  Message.delete_messages(messages=messages)","(None, None)","(None, None)"
"before you check if there are show me when will I arrive to Rice Plaza if I leave at noon, unless there are show if it blizzarding and cloudy in the two nearest inn at that time, in case that I have a reminder that the a/c is broken in highway 8 at between mindnight and 8:05 PM the day after tomorrow and it thundering or thundering in my office at that time there at these times, confirm when will I arrive to there if I leave at these times from my parents neighborhood","origin = Location.resolve_from_text(""from my parents neighborhood"")
estimated_arrival = []
for date_time in date_times:
  estimated_arrival += Navigation.find_estimated_arrival(origin=origin, destination=destination, date_time=date_time)
Responder.respond(response=estimated_arrival)

person_reminded = Contact.resolve_from_text(""I"")
content = Content.resolve_from_text(""the a/c is broken"")
reminders = Reminder.find_reminders(person_reminded=person_reminded, content=content)
test_reminders = bool(reminders)

if test_reminders:
  weather_conditions = WeatherCondition.resolve_many_from_text(""blizzarding and cloudy"")
  locations = Location.resolve_from_text(""in the 2 nearest inn"")
  locations = utils.sort(locations, ""nearest"")
  locations = utils.first(locations, 2)
  date_time = DateTime.resolve_from_text(""noon"")
  weather_forecasts = []
  for weather_condition in weather_conditions:
    for location in location:
      weather_forecasts += Weather.find_weather_forecasts(date_time=date_time, location=location, weather_condition=weather_condition)
  test_weather_forecasts = bool(weather_forecasts)
  Responder.respond(response=test_weather_forecasts)
location = Location.resolve_from_text(""highway 8"")
date_times = DateTime.resolve_many_from_text(""between mindnight and 8:05 PM the day after tomorrow"")
navigation_traffic_info = []
for traffic_condition in test_navigation_traffic_info:
  for location in location:
    for date_time in date_times = DateTime.resolve_many_from_text(""between mindnight and 8:05 PM the day after tomorrow""):
      navigation_traffic_info += Navigation.find_traffic_info(location=location, traffic_condition=traffic_condition, date_time=date_time)
test1 = bool(navigation_traffic_info)
weather_conditions = WeatherCondition.resolve_many_from_text(""thundering or thundering"")
location = Location.resolve_from_text(""in my office"")
weather_forecasts = []
for weather_condition in weather_conditions:
  weather_forecasts += Weather.find_weather_forecasts(date_time=date_time, location=location, weather_condition=weather_condition)
test2 = bool(weather_forecasts)
test = test1 and test2
if not test:
  destination = Location.resolve_from_text(""to Rice Plaza"")
  date_time = DateTime.resolve_from_text(""noon"")
  estimated_arrival = Navigation.find_estimated_arrival(destination=destination, date_time=date_time)
  Responder.respond(response=estimated_arrival)
navigation_traffic_info = []
for traffic_condition in test_navigation_traffic_info:
  for location in location:
    for date_time in __DELETE__:
      navigation_traffic_info += Navigation.find_traffic_info(location=location, traffic_condition=traffic_condition, date_time=date_time)
test_navigation_traffic_info = bool(navigation_traffic_info)
Responder.respond(response=test_navigation_traffic_info)","(None, None)","(None, None)"
"confirm if I recieved a message from Volkswagen or Dior mindnight and yesterday, report on the weather report on Yom Kippur in the three furthest lake if so","contact = Contact.resolve_from_text(""I"")
senders = Contact.resolve_many_from_text(""Volkswagen or Dior"")
date_times = DateTime.resolve_many_from_text(""mindnight and yesterday"")
messages = []
for sender in senders:
  for date_time in date_times:
    messages += Message.find_messages(date_time=date_time, recipient=contact, sender=sender)
test_messages = bool(messages)
Responder.respond(response=test_messages)
if test_messages:
  date_time = DateTime.resolve_from_text(""Yom Kippur"")
  locations = Location.resolve_from_text(""in the 3 furthest lake"")
  locations = utils.sort(locations, ""furthest"")
  locations = utils.first(locations, 3)
  weather_forecasts = []
  for location in location:
    weather_forecasts += Weather.find_weather_forecasts(date_time=date_time, location=location)
  Responder.respond(response=weather_forecasts)","(None, None)","(None, None)"
"before you confirm if there are tickets for a conference in my parents neighborhood, remove my last three reminders that the plants need water","person_reminded = Contact.resolve_from_text(""my"")
content = Content.resolve_from_text(""the plants need water"")
reminders = Reminder.find_reminders(person_reminded=person_reminded, content=content)
reminders = last(reminders, 3)
Reminder.delete_reminder(reminders=reminders)

event_name = EventName.resolve_from_text(""a conference"")
location = Location.resolve_from_text(""in my parents neighborhood"")
events = Calendar.find_events(event_name=event_name, location=location)
event_tickets = Calendar.find_events_tickets(events=events)
Responder.respond(response=event_tickets)
Responder.respond(response=event_tickets)","(None, None)","(None, None)"
"see if I have a reminder at 8 AM tomorrow that the car is low on gas and to close the window, check the weather at my work place or my parents neighborhood if so","person_reminded = Contact.resolve_from_text(""I"")
date_time = DateTime.resolve_from_text(""8 AM tomorrow"")
contents = Content.resolve_many_from_text(""the car is low on gas and close the window"")
reminders = []
for content in contents:
  reminders = Reminder.find_reminders(person_reminded=person_reminded, date_time=date_time, content=content)
test_reminders = bool(reminders)
Responder.respond(response=test_reminders)
if test_reminders:
  location = Location.resolve_many_from_text(""at my work place or my parents neighborhood"")
  weather_forecasts = []
  for location in location:
    weather_forecasts += Weather.find_weather_forecasts(location=location)
  Responder.respond(response=weather_forecasts)","(None, None)","(None, None)"
set an entry in my personal calendar a Justin Timberlake event at 10:04 AM the day after tomorrow and add eggs to my shopping list,"event_calendar = EventCalendar.resolve_from_text(""my personal calendar"")
event_name = EventName.resolve_from_text(""a Justin Timberlake event"")
date_time = DateTime.resolve_from_text(""10:04 AM the day after tomorrow"")
Calendar.schedule_event(date_time=date_time, event_calendar=event_calendar, event_name=event_name)

product_name = ProductName.resolve_from_text(""eggs"")
shopping_list_name = ShoppingListName.resolve_from_text(""my shopping list"")
shopping_list = Shopping.add_to_shopping_list(product_name=product_name, shopping_list_name=shopping_list_name)","(None, None)","(None, None)"
show me if I got a reminder that I have a meeting at 3pm and confirm if there are tickets for a Selena Gomez event in the best bridge for the weekend,"person_reminded = Contact.resolve_from_text(""I"")
content = Content.resolve_from_text(""I have a meeting at 3pm"")
reminders = Reminder.find_reminders(person_reminded=person_reminded, content=content)
test_reminders = bool(reminders)
Responder.respond(response=test_reminders)

event_name = EventName.resolve_from_text(""a Selena Gomez event"")
location = Location.resolve_from_text(""in the best bridge"")
location = utils.sort(location, ""best"")
location = utils.first(location)
date_time = DateTime.resolve_from_text(""the weekend"")
events = Calendar.find_events(date_time=date_time, event_name=event_name, location=location)
event_tickets = Calendar.find_events_tickets(events=events)
Responder.respond(response=event_tickets)
Responder.respond(response=event_tickets)","(None, None)","(None, None)"
let me know of the weather in the two closest YMCA and tell me if there are tickets for a basketball game in the worst Honda warehouse for tonight,"locations = Location.resolve_from_text(""in the 2 closest YMCA"")
locations = utils.sort(locations, ""closest"")
locations = utils.first(locations, 2)
weather_forecasts = []
for location in location:
  weather_forecasts += Weather.find_weather_forecasts(location=location)
Responder.respond(response=weather_forecasts)

event_name = EventName.resolve_from_text(""a basketball game"")
location = Location.resolve_from_text(""in the worst Honda warehouse"")
location = utils.sort(location, ""worst"")
location = utils.first(location)
date_time = DateTime.resolve_from_text(""tonight"")
events = Calendar.find_events(date_time=date_time, event_name=event_name, location=location)
event_tickets = Calendar.find_events_tickets(events=events)
Responder.respond(response=event_tickets)
Responder.respond(response=event_tickets)","(None, None)","(None, None)"
"schedule an entry a Ed Sheeran concert for the day after tomorrow on my calendar, in case there is a clearance on underwear or a clearance on Froot Loops at Martin, Rose and Obrien or Hickman Ltd","product_attribute = ProductAttribute.resolve_from_text(""a clearance"")
product_name1 = ProductName.resolve_from_text(""underwear"")
product_name2 = ProductName.resolve_from_text(""Froot Loops"")
locations = Location.resolve_many_from_text(""Martin, Rose and Obrien or Hickman Ltd"")
products = []
for product_name in [product_name1, product_name2]:
  for location in locations:
    products = products or Product.find_products(product_name=product_name, product_attribute=product_attribute, location=location)
test_products = bool(products)

if test_products:
  event_name = EventName.resolve_from_text(""a Ed Sheeran concert"")
  date_time = DateTime.resolve_from_text(""the day after tomorrow"")
  event_calendar = EventCalendar.resolve_from_text(""my calendar"")
  Calendar.schedule_event(date_time=date_time, event_name=event_name, event_calendar=event_calendar)","(None, None)","(None, None)"
"show me Lake Larry and check the weather on New Year's Day there, find Starbucks shoes that are on sale or oven that are on sale and remove the first messages that are from BMW","location = Location.resolve_from_text(""Lake Larry"")
map_locations = Map.find_on_map(location=map_locations)
Responder.respond(response=map_locations)
date_time = DateTime.resolve_from_text(""New Year's Day"")
location = Location.resolve_from_entity(entity= weather_forecasts)
weather_forecasts = Weather.find_weather_forecasts(date_time=date_time, location=location)
Responder.respond(response=weather_forecasts)

product_name1 = ProductName.resolve_from_text(""Starbucks shoes"")
product_name2 = ProductName.resolve_from_text(""oven"")
product_attribute = ProductAttribute.resolve_from_text(""on sale"")
products = []
for product_name in [product_name1, product_name2]:
  products += Product.find_products(product_name=product_name, product_attribute=product_attribute)
Responder.respond(response=products)

sender = Contact.resolve_from_text(""BMW"")
messages = Message.find_messages(sender=sender)
messages = first(messages)
Message.delete_messages(messages=messages)","(None, None)","(None, None)"
"create an entry a rock event for the evening of the day after tomorrow on my calendar, unless that on Tuesday it will be dusty or will be foggy on Martinez Fork road or I will arrive before 8 AM next month to my office after leaving before noon the day after tomorrow from the most expensive Amazon factory","date_time = DateTime.resolve_from_text(""Tuesday"")
weather_conditions = WeatherCondition.resolve_many_from_text(""will be dusty or will be foggy"")
location = Location.resolve_from_text(""Martinez Fork road"")
weather_forecasts = []
for weather_condition in weather_conditions:
  weather_forecasts += Weather.find_weather_forecasts(date_time=date_time, location=location, weather_condition=weather_condition)
test1 = bool(weather_forecasts)
arrival_date_time = before arrival_date_time = DateTime.resolve_from_text(""8 AM next month"")
destination = Location.resolve_from_text(""to my office"")
before departure_time = DateTime.resolve_from_text(""noon the day after tomorrow"")
origin = Location.resolve_from_text(""from the most expensive Amazon factory"")
origin = utils.sort(origin, ""most expensive"")
origin = utils.first(origin)
arrival = Navigation.find_estimated_arrival(source=origin, destination=destination, arrival_date_time=arrival_date_time, departure_date_time=departure_time)
test2 = bool(departure)
test = test1 or test2
if not test:
  event_name = EventName.resolve_from_text(""a rock event"")
  date_time = DateTime.resolve_from_text(""the evening of the day after tomorrow"")
  event_calendar = EventCalendar.resolve_from_text(""my calendar"")
  Calendar.schedule_event(date_time=date_time, event_name=event_name, event_calendar=event_calendar)","(None, None)","(None, None)"
tell me if on Wednesday during September it will be nice and snows in the YMCA YMCA and show when will I arrive to my work place if I leave at noon and 12 PM next week,"date_time = DateTime.resolve_from_text(""Wednesday during September"")
weather_conditions = WeatherCondition.resolve_many_from_text(""will be nice and snows"")
location = Location.resolve_from_text(""in the YMCA YMCA"")
weather_forecasts = []
for weather_condition in weather_conditions:
  weather_forecasts += Weather.find_weather_forecasts(date_time=date_time, location=location, weather_condition=weather_condition)
test_weather_forecasts = bool(weather_forecasts)
Responder.respond(response=test_weather_forecasts)

destination = Location.resolve_from_text(""to my work place"")
date_times = DateTime.resolve_many_from_text(""noon and 12 PM next week"")
estimated_arrival = []
for date_time in date_times:
  estimated_arrival += Navigation.find_estimated_arrival(destination=destination, date_time=date_time)
Responder.respond(response=estimated_arrival)","(None, None)","(None, None)"
"show me the route to Cyprus from my work place at 5:01 AM, in the event that I will arrive before noon the day after tomorrow to there from there after leaving before 7 AM the day after tomorrow or 5:33 PM or the thermostat is set to 1160 celsius","arrival_date_time = before arrival_date_time = DateTime.resolve_from_text(""noon the day after tomorrow"")
before departure_times = DateTime.resolve_many_from_text(""7 AM the day after tomorrow or 5:33 PM"")
arrival = []
for departure_date_time in departure_times:
  arrival += Navigation.find_estimated_arrival(source=origin, destination=destination, arrival_date_time=arrival_date_time, departure_date_time=departure_date_time)
test1 = bool(arrival)
device_name = HomeDeviceName.resolve_from_text(""the thermostat"")
device_action = HomeDeviceAction.resolve_from_text(""set"")
device_value = HomeDeviceValue.resolve_from_text(""1160 celsius"")
home_devices = SmartHome.find_home_devices(device_action=device_action, device_name=device_name, device_value=device_value)
test2 = bool(home_devices)
test = test1 or test2
if test:
  destination = Location.resolve_from_text(""to Cyprus"")
  date_time = DateTime.resolve_from_text(""5:01 AM"")
  directions = Navigation.find_directions(origin=origin, destination=destination, date_time=date_time)
  Responder.respond(response=directions)","(None, None)","(None, None)"
